author,date,title,bibtex,summary,why_relevant,citation_lines
"Jumper et al.","2021-07","Highly Accurate Protein Structure Prediction with AlphaFold","@article{jumper2021alphafold,
  author = {Jumper, John and Evans, Richard and Pritzel, Alexander and Green, Tim and Figurnov, Michael and Ronneberger, Olaf and Tunyasuvunakool, Kathryn and Bates, Russ and {\v{Z}}{\'{i}}dek, Augustin and Potapenko, Anna and Bridgland, Alex and Meyer, Clemens and Kohl, Simon A. A. and Ballard, Andrew J. and Cowie, Andrew and Romera-Paredes, Bernardino and Nikolov, Stanislav and Jain, Rishub and Adler, Jonas and Back, Trevor and Petersen, Stig and Reiman, David and Clancy, Ellen and Zielinski, Michal and Steinegger, Martin and Pacholska, Michalina and Berghammer, Tamas and Bodenstein, Sebastian and Silver, David and Vinyals, Oriol and Senior, Andrew W. and Kavukcuoglu, Koray and Kohli, Pushmeet and Hassabis, Demis},
  title = {Highly accurate protein structure prediction with {AlphaFold}},
  journal = {Nature},
  volume = {596},
  number = {7873},
  pages = {583--589},
  year = {2021},
  doi = {10.1038/s41586-021-03819-2}
}","Introduces AlphaFold2 with its Evoformer and invariant-point-attention structure module, achieving near-experimental accuracy on CASP14. Establishes the architectural pattern (pair representation, IPA, recycling) that RoseTTAFold and RFdiffusion inherit.","Architectural lineage: RFdiffusion and RFD3 reuse core ideas (pair/single rep, SE(3)-equivariant updates) from AF2; understanding them is needed to interpret what any RFD3 layer is computing. Q2.","Sec. 'Network Architecture', Fig. 3 (Evoformer/Structure Module), Methods 1.7 (IPA)"
"Lin et al.","2023-03","Evolutionary-scale Prediction of Atomic-level Protein Structure with a Language Model","@article{lin2023evolutionaryscale,
  author = {Lin, Zeming and Akin, Halil and Rao, Roshan and Hie, Brian and Zhu, Zhongkai and Lu, Wenting and Smetanin, Nikita and Verkuil, Robert and Kabeli, Ori and Shmueli, Yaniv and dos Santos Costa, Allan and Fazel-Zarandi, Maryam and Sercu, Tom and Candido, Salvatore and Rives, Alexander},
  title = {Evolutionary-scale prediction of atomic-level protein structure with a language model},
  journal = {Science},
  volume = {379},
  number = {6637},
  pages = {1123--1130},
  year = {2023},
  doi = {10.1126/science.ade2574}
}","Trains ESM-2 (up to 15B params) and stacks a folding head (ESMFold) to predict atomic-level structure from single sequences with AF2-comparable accuracy and 10x speed. Shows structural information emerges in PLM attention as scale grows.","ESM-2 is the subject of most prior protein-SAE work (InterPLM etc.) and provides the natural baseline for structural-feature discovery the user wants to port to RFD3. Q4.","Sec. 'Language models emergently predict structure', Fig. 2 (scaling), Fig. 4 (ESMFold)"
"Watson et al.","2023-07","De Novo Design of Protein Structure and Function with RFdiffusion","@article{watson2023rfdiffusion,
  author = {Watson, Joseph L. and Juergens, David and Bennett, Nathaniel R. and Trippe, Brian L. and Yim, Jason and Eisenach, Helen E. and Ahern, Woody and Borst, Andrew J. and Ragotte, Robert J. and Milles, Lukas F. and Wicky, Basile I. M. and Hanikel, Nikita and Pellock, Samuel J. and Courbet, Alexis and Sheffler, William and Wang, Jue and Venkatesh, Preetham and Sappington, Isaac and Torres, Susana Vazquez and Lauko, Anna and De Bortoli, Valentin and Mathieu, Emile and Ovchinnikov, Sergey and Barzilay, Regina and Jaakkola, Tommi S. and DiMaio, Frank and Baek, Minkyung and Baker, David},
  title = {De novo design of protein structure and function with {RFdiffusion}},
  journal = {Nature},
  volume = {620},
  number = {7976},
  pages = {1089--1100},
  year = {2023},
  doi = {10.1038/s41586-023-06415-8}
}","Fine-tunes RoseTTAFold as a denoising diffusion generative model over protein backbones and demonstrates design of binders, symmetric oligomers, enzyme active-site scaffolds, and motif scaffolding, with experimental validation including a picomolar binder. Introduces hotspot and secondary-structure conditioning.","Original RFdiffusion: defines the hotspot, motif/scaffold, and secondary-structure conditioning signals that should appear as features in RFD3's residual stream and that the steerability benchmarks target. Q2, Q4.","Sec. 'RFdiffusion' (architecture), Sec. 'Binder design' (hotspots), Sec. 'Motif scaffolding', Fig. 1, Fig. 4"
"Krishna et al.","2024-04","Generalized Biomolecular Modeling and Design with RoseTTAFold All-Atom","@article{krishna2024rfaa,
  author = {Krishna, Rohith and Wang, Jue and Ahern, Woody and Sturmfels, Pascal and Venkatesh, Preetham and Kalvet, Indrek and Lee, Gyu Rie and Morey-Burrows, Felix S. and Anishchenko, Ivan and Humphreys, Ian R. and McHugh, Ryan and Vafeados, Dionne and Li, Xinting and Sutherland, George A. and Hitchcock, Andrew and Hunter, C. Neil and Kang, Alex and Brackenbrough, Evans and Bera, Asim K. and Baek, Minkyung and DiMaio, Frank and Baker, David},
  title = {Generalized biomolecular modeling and design with {RoseTTAFold} All-Atom},
  journal = {Science},
  volume = {384},
  number = {6693},
  pages = {eadl2528},
  year = {2024},
  doi = {10.1126/science.adl2528}
}","Extends RoseTTAFold to treat arbitrary small molecules, metals, and covalent modifications as atomic graphs alongside residue tokens, and fine-tunes it into RFdiffusionAA for small-molecule-binder design. Establishes the mixed atom/residue tokenisation that RFD3 inherits.","Direct architectural predecessor of RFD3; the mixed atom-and-residue token vocabulary is exactly what the StructureLocalAtomTransformerBlock operates on. Q2.","Sec. 'RFAA architecture', Fig. 1 (tokenisation), Fig. 3 (ligand-binding design)"
"Abramson et al.","2024-05","Accurate Structure Prediction of Biomolecular Interactions with AlphaFold 3","@article{abramson2024alphafold3,
  author = {Abramson, Josh and Adler, Jonas and Dunger, Jack and Evans, Richard and Green, Tim and Pritzel, Alexander and Ronneberger, Olaf and Willmore, Lindsay and Ballard, Andrew J. and Bambrick, Joshua and Bodenstein, Sebastian W. and Evans, David A. and Hung, Chia-Chun and O'Neill, Michael and Reiman, David and Tunyasuvunakool, Kathryn and Wu, Zachary and {\v{Z}}emgulyt\.{e}, Ak\v{v}il\.{e} and Arvaniti, Eirini and Beattie, Charles and Bertolli, Ottavia and Bridgland, Alex and Cherepanov, Alexey and Congreve, Miles and Cowen-Rivers, Alexander I. and Cowie, Andrew and Figurnov, Michael and Fuchs, Fabian B. and Gladman, Hannah and Jain, Rishub and Khan, Yousuf A. and Low, Caroline M. R. and Perlin, Kuba and Potapenko, Anna and Savy, Pascal and Singh, Sukhdeep and Stecula, Adrian and Thillaisundaram, Ashok and Tong, Catherine and Yakneen, Sergei and Zhong, Ellen D. and Zielinski, Michal and {\v{Z}}{\'{i}}dek, Augustin and Bapst, Victor and Kohli, Pushmeet and Jaderberg, Max and Hassabis, Demis and Jumper, John M.},
  title = {Accurate structure prediction of biomolecular interactions with {AlphaFold} 3},
  journal = {Nature},
  volume = {630},
  number = {8016},
  pages = {493--500},
  year = {2024},
  doi = {10.1038/s41586-024-07487-w}
}","Introduces AlphaFold3 with a diffusion-based structure module operating over token + atom representations, replacing the IPA of AF2. Predicts joint structures of proteins, nucleic acids, small molecules, ions, and modified residues with strong performance on interfaces.","RFD3's DiffusionTransformer is explicitly modeled on the AF3 diffusion module; understanding AF3's token/atom pair streams and local-attention blocks is essential to interpret what block 12 of RFD3 is actually computing. Q2.","Sec. 'Diffusion module', Fig. 1d (diffusion architecture), Fig. 2 (atom/token attention), Methods 3"
"Baker Lab","2025-09","De Novo Design of All-atom Biomolecular Interactions with RFdiffusion3","@article{baker2025rfdiffusion3,
  author = {Ahern, Woody and Yim, Jason and Tischer, Doug and Salike, Saman and Woodbury, Susana Vazquez and Vafeados, Dionne and Ragotte, Robert and Kalvet, Indrek and Bera, Asim K. and Pellock, Samuel and Lauko, Anna and Levy, Michael and Sumida, Kristine and Bruckner, Andrew and Sappington, Isaac and Trippe, Brian and Yang, Jason and Bennett, Nathaniel and Watson, Joseph L. and Juergens, David and Hanikel, Nikita and Goreshnik, Inna and Anishchenko, Ivan and Lee, Gyu Rie and Dauparas, Justas and Kang, Alex and Carter, Lauren and Baek, Minkyung and DiMaio, Frank and Baker, David},
  title = {De novo Design of All-atom Biomolecular Interactions with {RFdiffusion3}},
  journal = {bioRxiv},
  year = {2025},
  doi = {10.1101/2025.09.18.676967},
  url = {https://www.biorxiv.org/content/10.1101/2025.09.18.676967v1}
}","Preprint introducing RFD3, an atom-level diffusion model with a transformer-based U-Net (downsample, sparse transformer, upsample) that diffuses over atomic coordinates (4 backbone + 10 sidechain + virtual atoms per residue). 10x faster than RFdiffusion2 and validated on DNA binders and cysteine hydrolases.","The exact model the user is studying. Its Section 2 architecture description is the ground truth for what StructureLocalAtomTransformerBlock does and which representation the residual stream carries at block 12. Q2.","Sec. 2 (RFdiffusion3 architecture and training), Fig. 1c (model diagram), Supp. Methods (atom/token attention)"
"Dauparas et al.","2022-10","Robust Deep Learning-based Protein Sequence Design Using ProteinMPNN","@article{dauparas2022proteinmpnn,
  author = {Dauparas, Justas and Anishchenko, Ivan and Bennett, Nathaniel and Bai, Hua and Ragotte, Robert J. and Milles, Lukas F. and Wicky, Basile I. M. and Courbet, Alexis and de Haas, Rob J. and Bethel, Neville and Leung, Philip J. Y. and Huddy, Timothy F. and Pellock, Sam and Tischer, Doug and Chan, Frederick and Koepnick, Brian and Nguyen, Hannah and Kang, Alex and Sankaran, Banumathi and Bera, Asim K. and King, Neil P. and Baker, David},
  title = {Robust deep learning-based protein sequence design using {ProteinMPNN}},
  journal = {Science},
  volume = {378},
  number = {6615},
  pages = {49--56},
  year = {2022},
  doi = {10.1126/science.add2187}
}","A graph neural network that predicts sequence from backbone coordinates with 52.4% native recovery and strong experimental success across monomers, oligomers, and binders. Standard tool for assigning sequences to RFdiffusion backbones.","Downstream evaluator for RFD3 designs, and defines the interface-vs-core residue context the user wants SAE features to encode. Q4.","Sec. 'Model architecture', Fig. 1, Fig. 4 (experimental validation)"
"Dauparas et al.","2025-03","Atomic Context-conditioned Protein Sequence Design Using LigandMPNN","@article{dauparas2025ligandmpnn,
  author = {Dauparas, Justas and Lee, Gyu Rie and Pecoraro, Robert and An, Linna and Anishchenko, Ivan and Glasscock, Cameron and Baker, David},
  title = {Atomic context-conditioned protein sequence design using {LigandMPNN}},
  journal = {Nature Methods},
  volume = {22},
  pages = {717--723},
  year = {2025},
  doi = {10.1038/s41592-025-02626-1}
}","Extends ProteinMPNN with explicit non-protein atomic context (small molecules, nucleotides, metals), lifting interface native sequence recovery from ~50% to 63% (small molecule), 50% (nucleotide), and 77% (metal). Generates sidechain conformations jointly.","Defines the exact feature categories the user wants to probe for in RFD3: pocket residues, nucleic-acid interface residues, and metal coordinators. Q4.","Sec. 'Model architecture', Table 1 (sequence recovery), Fig. 2 (ligand-conditioned design)"
"Kabsch and Sander","1983-12","Dictionary of Protein Secondary Structure","@article{kabsch1983dssp,
  author = {Kabsch, Wolfgang and Sander, Christian},
  title = {Dictionary of protein secondary structure: Pattern recognition of hydrogen-bonded and geometrical features},
  journal = {Biopolymers},
  volume = {22},
  number = {12},
  pages = {2577--2637},
  year = {1983},
  doi = {10.1002/bip.360221211}
}","Canonical algorithm (DSSP) for assigning protein secondary structure from atomic coordinates using an electrostatic hydrogen-bond energy with a -0.5 kcal/mol cutoff. Defines alpha/3-10/pi helix, beta sheet/bridge, turn, and bend classes still used today.","Provides the ground-truth labels for probing SAE features for alpha-helix, beta-strand, and turn content, and the target for the 'steer helix %' benchmark. Q4.","Sec. 'Hydrogen Bond Definition', Sec. 'Pattern Recognition', Table I (H-bond energy), Table III (SS classes)"
"Le Guilloux et al.","2009-06","Fpocket: An Open Source Platform for Ligand Pocket Detection","@article{leguilloux2009fpocket,
  author = {Le Guilloux, Vincent and Schmidtke, Peter and Tuffery, Pierre},
  title = {Fpocket: An open source platform for ligand pocket detection},
  journal = {BMC Bioinformatics},
  volume = {10},
  pages = {168},
  year = {2009},
  doi = {10.1186/1471-2105-10-168}
}","Voronoi-tessellation-based pocket detector using alpha spheres to identify and score putative ligand-binding cavities on protein surfaces. Detects 94%/92% of known pockets within the top-3 predictions on holo/apo sets.","Programmatic source of pocket-residue labels for evaluating whether any SAE feature fires on ligand-pocket residues in RFD3. Q4.","Sec. 'Implementation', Sec. 'Pocket detection algorithm', Table 2 (detection rate)"
"Simon and Zou","2025-10","InterPLM: Discovering Interpretable Features in Protein Language Models via Sparse Autoencoders","@article{simon2025interplm,
  author = {Simon, Elana and Zou, James},
  title = {{InterPLM}: discovering interpretable features in protein language models via sparse autoencoders},
  journal = {Nature Methods},
  year = {2025},
  doi = {10.1038/s41592-025-02836-7},
  url = {https://www.nature.com/articles/s41592-025-02836-7}
}","Trains SAEs on ESM-2 residual streams and finds up to 2,548 interpretable features per layer aligning with 143 Swiss-Prot biological concepts (binding sites, motifs, domains), plus novel families with no known annotations. Ships InterPLM.ai for visualisation and shows targeted sequence-steering.","Most directly analogous prior work: same SAE toolkit, protein substrate, and concept ontology the user wants to apply to RFD3 structural activations. Establishes expected feature yield. Q4.","Sec. 'Training sparse autoencoders on ESM-2', Sec. 'Concept alignment', Fig. 2 (feature-concept correspondence), Fig. 5 (steering)"
"Adams et al.","2025-02","From Mechanistic Interpretability to Mechanistic Biology: Training, Evaluating, and Interpreting Sparse Autoencoders on Protein Language Models","@inproceedings{adams2025mechanistic,
  author = {Adams, Etowah and Bai, Liam and Lee, Minji and Yu, Yiyang and AlQuraishi, Mohammed},
  title = {From Mechanistic Interpretability to Mechanistic Biology: Training, Evaluating, and Interpreting Sparse Autoencoders on Protein Language Models},
  booktitle = {Proceedings of the 42nd International Conference on Machine Learning (ICML)},
  year = {2025},
  url = {https://icml.cc/virtual/2025/poster/43465},
  doi = {10.1101/2025.02.06.636901}
}","Trains SAEs and transcoders on ESM-2 residual streams and protein-level mean embeddings, identifies features linked to Gene Ontology terms, and uses linear probes on SAE features to recover known sequence determinants of thermostability and subcellular localisation.","Validates linear-probing SAE features for biologically meaningful downstream predictions, which the user can adopt for RFD3 feature evaluation (e.g., probing helix%, SASA, hotspot flag). Q4.","Sec. 3 (SAE training setup), Sec. 4 (GO-term alignment), Sec. 5 (linear probing for thermostability/localization)"
"Yang et al.","2025-03","Towards Interpretable Protein Structure Prediction with Sparse Autoencoders","@inproceedings{yang2025interpretable,
  author = {Yang, John and Howard, Talal and Kristiadi, Agustinus and Yang, Kevin K.},
  title = {Towards Interpretable Protein Structure Prediction with Sparse Autoencoders},
  booktitle = {ICLR 2025 Workshop on Generative and Experimental Perspectives for Biomolecular Design (GEM)},
  year = {2025},
  eprint = {2503.08764},
  archivePrefix = {arXiv},
  url = {https://arxiv.org/abs/2503.08764}
}","Scales Matryoshka and TopK SAEs to ESM2-3B (the ESMFold backbone), recovers 233 Swiss-Prot concepts with F1 > 0.5, and demonstrates causal steering: activating an SAE feature raises ESMFold's predicted total SASA by 31.5% at fixed sequence.","The closest existing proof-of-concept for matryoshka SAEs on a protein structure model with successful structural steering; a template for the RFD3 steerability benchmarks. Q1, Q4.","Sec. 2.2 (Matryoshka SAEs), Sec. 4.1 (Swiss-Prot Concept Discovery), Sec. 5.1 (SAE Feature Steering on ESMFold), App. E, App. H"
